ID Z_score channel
1 7.56467618716908 36
2 7.94786561203443 39
3 4.87008241585631 40
4 10.2463492258684 40
5 7.94708712778122 32
6 10.7763435259607 36
7 12.6294845684528 36
8 7.81006346403238 40
9 8.96652804036147 40
10 15.853362483282 40
11 1.35504866106269 38
12 3.4431008377391 38
13 6.86904266796164 35
14 8.76833707454788 40
15 6.86788818880012 40
16 5.41180290640457 39
17 8.91054702957378 40
18 6.11027210215973 40
19 4.43246702321921 38
20 9.87130005193476 39
21 13.6108239632612 40
22 12.4417223929453 32
23 14.3267818529996 38
24 11.8957713629332 37
25 10.0319823644174 40
26 7.14495043814136 40
27 13.3152515160819 39
28 8.84494345010773 40
29 5.21751280167394 39
30 16.1511406374827 33
31 7.83582184183794 40
32 9.69359989010934 40
33 9.34642333379071 33
34 7.90921193452507 40
35 13.124773418922 40
36 4.73649195825231 36
37 13.9371528194704 33
38 7.26305013640471 38
39 3.94396813779164 34
40 8.19217785299022 34
41 11.5788971205752 39
42 9.58690717299682 35
43 6.36410885339359 34
44 3.6000571531973 39
