ID Z_score channel
1 1.55738444207781 41
2 1.94121404729045 35
3 2.7359777785204 33
4 3.26091907280762 33
5 1.91990229179362 42
6 1.91640372055837 40
7 6.90223632259013 37
8 1.81904933647728 38
9 2.00329092760065 38
10 2.51723793271614 41
11 2.06389425244686 42
12 3.45329255155579 38
13 2.45060879813621 34
14 3.55106888917633 39
15 1.96324871218901 33
16 1.932421735722 32
17 3.22163637384897 34
18 1.86901730851826 37
19 2.41512027933933 33
20 2.75624456551539 35
21 3.71120671087409 33
22 1.20827649596048 39
23 2.1723723349387 36
24 3.0508573164666 32
25 2.0325104388978 33
26 1.31136704515495 33
27 3.77065616297345 35
28 2.48482405253199 32
29 2.49590270672623 39
30 2.00022530658909 37
31 3.46771796566754 37
32 3.72244348888474 32
33 2.91562732394304 37
34 2.2746259234922 41
35 4.22043965738862 32
36 1.70257562795396 41
37 2.73578624357237 40
38 2.81146553338066 42
39 3.24649544904402 33
40 2.2370156825095 36
41 2.83383670936817 41
42 1.97472742019373 34
43 3.35124174628793 40
44 0.764319368917251 42
