ID Z_score channel
1 2.04035988377311 34
2 1.59637246439531 37
3 3.21183792946263 37
4 2.24242756881257 39
5 1.48370858737877 33
6 3.31929472034909 41
7 1.86533011323377 39
8 2.80995836680723 40
9 2.55058007694908 41
10 3.15879576163068 38
11 2.23092730870633 41
12 3.06995383191656 42
13 2.92870963460754 42
14 2.39133984444644 32
15 3.29057977026539 40
16 2.37433288898741 37
17 1.51091084515989 36
18 2.78078814104946 37
19 3.67633089284676 41
20 2.35698974747676 39
21 3.85489006601289 33
22 1.68035230308244 40
23 1.99657437167114 36
24 3.67385200639533 33
25 3.85346779344376 35
26 1.27696409741625 41
27 2.98579385094032 35
28 3.52158624639495 37
29 3.56306983681425 39
30 3.21881053965618 33
31 0.993921085918489 32
32 2.07851945062755 36
33 2.31046555389041 37
34 2.31882604128305 34
35 1.92443590418725 32
36 1.0061724824164 40
37 1.74004429310617 35
38 2.34119420011896 39
39 1.79070635784352 32
40 2.4474598515726 40
41 1.78864736303359 35
42 2.9572497814109 34
43 1.76490241570833 42
44 1.76098232306979 42
