O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion artifacts
-10.82052 -17.17195 3.70109 -7.338379 -5.794855 -6.204799 6.097432 -18.61265 -19.06779 -30.54458 -21.00463 16 1 1
-11.9172 -2.033794 -5.407526 -8.355945 -12.67741 -9.498991 -0.3527393 -0.5617744 -0.4694309 -12.90878 -0.2817798 16 1 1
19.51023 10.62547 7.320199 16.07644 1.827291 3.604388 -17.02421 8.663787 8.15251 27.10686 6.820382 16 1 0
2.65462 3.548758 11.61874 1.568899 0.7641686 -11.76098 15.62918 4.990022 4.575336 -1.744724 5.69336 16 1 1
-23.78073 -32.57448 -33.22797 -1.201942 -0.4877425 26.36593 -25.67287 -32.70324 -33.39752 -28.15946 -33.33471 16 1 1
-18.41475 -25.63618 -24.65047 -12.01455 -14.26512 -8.101197 -17.185 -24.26157 -23.60466 -16.78828 -24.60402 16 1 1
-17.46007 -20.2374 -21.02806 -4.324256 4.462711 9.923297 -0.8008665 -17.23638 -18.30758 -7.587397 -17.94207 16 1 1
-7.85732 12.40481 2.878524 -8.030669 -12.28989 -20.47158 -1.487507 13.03644 13.59823 12.00927 13.15153 16 1 1
-24.71371 -20.66881 -26.29428 -20.58405 -18.40929 -5.856085 -28.04815 -15.98806 -16.19768 -6.205252 -15.48846 16 1 1
4.564244 -6.766257 -9.70323 5.129007 7.348597 12.57848 -0.8722861 -10.28375 -9.703167 -7.155843 -10.81923 16 1 1
30.25171 13.54951 31.50381 24.4685 14.98733 -1.955118 5.651685 6.983431 6.060874 24.59865 4.581304 16 1 1
1.531027 -6.178707 -0.4094771 3.313288 -2.643004 -7.260574 -14.84857 -5.931418 -6.211909 -3.694981 -6.184917 16 1 1
-20.76407 -44.83432 -40.8581 -11.25648 7.385235 28.47662 2.794066 -41.83957 -42.00854 -18.74182 -40.98299 16 1 1
20.55088 31.47857 28.27843 18.86716 5.484471 1.188177 6.354386 30.38714 30.2879 4.641105 31.1304 16 1 1
5.429552 5.23607 6.150716 5.863102 7.517482 -0.2918133 9.749046 3.91541 3.199186 -13.81886 2.804562 16 1 1
-8.111897 -14.41009 -7.033461 -9.444195 -13.87174 -1.414937 -15.83763 -13.00202 -14.12799 -4.706094 -13.79538 16 1 1
-11.12492 -0.3643491 -11.12351 2.015845 -9.872263 6.346329 -18.40051 3.130175 2.610275 2.915467 3.310989 16 1 1
-0.5441767 -23.05999 -2.753383 4.516895 -0.6751649 22.3187 -25.3731 -26.42503 -26.23825 -40.36794 -26.5501 16 1 1
-4.023058 -13.13681 -9.458187 2.580948 9.492143 10.52406 26.58803 -14.77283 -14.43911 -3.036027 -14.19069 16 1 1
-19.05387 2.757538 -5.897661 -14.26908 -30.76894 -20.60679 -28.33558 2.062207 1.637118 8.541173 1.562265 16 1 1
25.44827 2.286214 26.27181 2.932963 13.53072 10.63867 33.75303 3.180657 3.038249 -11.63563 2.652575 16 1 1
21.85654 19.58034 23.23311 11.97698 -5.165692 -7.832308 -12.49897 16.95918 17.32855 8.820638 17.75079 16 1 1
-31.94114 -26.31575 -28.72558 -27.11938 -27.97113 -14.86802 -46.51454 -22.34364 -23.0594 -14.07309 -22.37897 16 1 1
25.70304 21.0168 40.17057 25.63633 30.13858 -1.094609 13.81261 23.08086 23.58735 -46.06656 20.38523 16 1 0
-6.479859 7.049902 5.567259 4.599741 -3.063184 -14.56811 1.614089 6.846041 5.298715 22.24099 5.348496 16 1 0
0.3783886 -12.96043 -3.934118 1.754721 -9.017584 -7.339249 -51.30064 -15.22536 -13.71677 -45.34448 -13.81222 16 1 0
-3.073661 -1.836697 -4.416089 5.183123 5.114624 21.47355 0.8619936 -0.3569847 0.7446966 3.007305 0.2209427 16 1 1
-53.69147 -53.97437 -64.7218 -29.72525 -31.18816 -4.152781 -44.40301 -48.37531 -49.06367 -32.70525 -50.06812 16 1 1
-12.8012 -7.317739 -10.62872 -20.30223 -8.250065 15.02191 20.12613 -6.977661 -6.558841 -1.373813 -6.232011 16 1 1
-0.370309 -17.78683 -2.184412 -2.363124 3.210615 8.474728 -1.570079 -19.50133 -19.19455 -7.682905 -18.38472 16 1 1
-9.646994 4.12235 -1.394113 -0.2778875 -13.73143 -13.99548 -18.29807 5.988915 5.960889 6.532245 5.361324 16 1 1
-33.00948 -20.22983 -36.55184 -23.37844 -27.86714 -16.33134 -34.89763 -19.10754 -18.95442 -2.928286 -19.15579 16 1 1
12.50715 -21.77924 2.772592 4.800892 3.81179 -0.4218556 -1.793511 -21.64732 -22.18262 -5.839008 -22.9495 16 1 1
-9.795854 -26.76022 -21.35453 -2.476075 10.76369 29.00445 7.80266 -28.28836 -27.94479 -9.409178 -28.84804 16 1 1
-6.932961 19.38199 3.366274 2.318991 -18.34861 -13.57216 -15.38003 19.49599 19.02253 23.87554 18.52047 16 1 1
7.99535 -10.63937 -2.930821 9.845262 -1.492931 -4.47703 -10.9479 -16.561 -14.52501 3.338854 -14.46032 16 1 1
-20.38275 7.592365 -17.84701 -16.82446 -23.8162 -13.91898 -9.364688 8.130977 7.724904 11.62196 8.425858 16 1 1
49.49701 32.92646 47.30307 39.47982 31.25043 18.71931 17.48156 29.34815 28.28869 8.370678 27.5235 16 1 1
-14.83433 -18.20482 -17.7064 -5.986836 -26.94353 -17.48684 -32.52242 -17.5168 -17.41805 -17.26401 -18.9257 16 1 1
-20.60013 -9.722344 -11.96558 -16.37783 -29.76751 -27.29955 -30.786 -9.179279 -9.356642 -5.582325 -9.06336 16 1 1
-13.76676 -10.59171 -14.13379 -7.076576 -9.650901 -8.983978 -14.92369 -9.040142 -8.636753 -5.082694 -9.015537 16 1 1
-24.8269 -16.33323 -21.17701 -14.38662 -25.96041 -10.3022 -29.65455 -19.97234 -19.44396 -33.836 -20.52549 16 1 1
2.32372 -7.071215 8.731514 2.404161 -9.764662 -1.623742 -8.550895 -8.10547 -8.063039 -7.032705 -8.009436 16 1 1
13.85503 4.478208 9.472785 2.525129 25.35476 13.95743 24.8393 3.299255 3.249839 4.041272 2.786859 16 1 1
-6.200359 -3.382268 4.314028 -8.492931 -14.12858 -7.81474 4.702924 -3.103446 -3.711281 -14.17864 -3.838271 16 1 1
-8.655962 -1.053062 -8.168615 -8.990563 -6.729719 -7.432686 -13.41642 0.1897222 0.7217537 1.703991 1.547837 16 1 1
15.52306 -2.72949 9.96394 18.0828 22.11194 15.07188 30.95789 -3.863807 -3.254308 -20.70554 -3.276489 16 1 1
12.2762 7.976595 7.744152 -3.388387 12.25715 7.655425 18.56223 8.801097 9.893193 -3.911532 10.46997 16 1 1
11.83474 7.214643 15.3773 7.308577 5.999949 -3.491265 -4.613256 8.48431 8.596363 -0.7835271 7.951698 16 1 1
7.22876 -12.76496 1.22953 7.5318 7.301363 6.085963 7.808886 14.43081 26.59364 -26.44884 -0.4426762 17 1 0
7.989504 58.41242 16.90923 10.23702 7.569213 7.440779 8.329781 29.108 40.80009 7.142349 2.968031 17 1 1
-14.57036 -5.860597 -8.836436 -14.49228 -15.06797 -14.60028 -16.38347 4.540042 -16.70853 32.63915 15.36158 17 1 0
-8.375349 -53.50392 -22.60714 -10.9517 -7.110613 -7.296857 -7.297949 -41.86481 -62.64492 -26.99787 -17.93339 17 1 0
1.563424 0.03364436 8.071424 1.544607 2.712276 2.197595 1.12624 -7.949116 -1.099382 -23.11973 -4.742788 17 1 0
20.35264 -4.27526 10.72871 19.88919 19.09947 21.08561 21.18198 6.595257 -14.57052 12.56997 10.61045 17 1 0
18.57561 -9.731842 15.02499 19.60917 18.20518 18.59043 18.29343 -5.39393 -10.60102 -18.00632 -5.537955 17 1 1
1.442635 26.54717 18.62263 4.617798 1.55572 1.273403 1.412741 13.41427 30.79786 15.90118 -9.742889 17 1 0
8.415216 65.8326 0.6065066 4.051639 9.110023 8.655737 10.27087 -23.55087 -41.00935 -33.15218 -15.77226 17 1 0
33.99757 65.12312 30.46038 34.45779 33.57492 33.82823 36.65271 41.93291 71.3055 21.0227 37.10806 17 1 0
-12.11872 -17.80232 -3.604451 -12.4057 -12.46201 -11.85398 -13.82487 -47.15384 -23.01506 5.790684 13.19273 17 1 0
32.03862 8.250889 3.91672 30.47417 33.68853 32.63343 31.37152 -49.1612 -4.282713 -11.25496 25.57686 17 1 0
14.15163 -63.50793 15.94292 13.95782 15.0717 13.36779 12.20945 15.85159 -30.04622 0.8876755 22.06207 17 1 0
-0.77712 -34.4779 -2.421429 -3.917297 0.8713335 1.082642 4.388914 -7.141145 -11.72973 -8.522656 26.92771 17 1 1
-17.87228 -57.2287 -42.22584 -20.57276 -17.12671 -17.02185 -17.61408 -50.21162 -75.33839 -39.49889 -43.0216 17 1 0
9.286947 2.74974 10.22086 8.227556 9.676256 9.620513 11.03807 -16.92354 -36.36443 1.722974 12.92215 17 1 0
-11.63963 20.68751 0.6600773 -12.96947 -11.04813 -11.58715 -14.73029 -13.33152 0.265743 9.529747 9.185589 17 1 1
-23.21433 -29.20681 -38.56938 -22.52359 -23.45801 -22.48546 -23.18079 -19.67245 -36.42088 -1.692518 -25.05808 17 1 0
-8.227287 -116.9877 2.471431 -9.371261 -7.135355 -6.93482 -8.022911 22.96006 22.71415 36.44287 38.22308 17 1 0
9.636093 -34.83209 -7.784317 10.35071 8.591131 9.208424 9.870119 -26.00947 -39.17483 -43.44801 -40.51606 17 1 0
-25.43882 39.1988 -1.95002 -26.02198 -26.72068 -26.04429 -25.48548 6.022387 27.83648 -2.233222 5.672405 17 1 0
-5.675698 0.209222 9.524199 -4.977793 -7.037615 -6.354874 -7.127251 7.472562 -13.91246 -0.9555562 0.8395073 17 1 1
-3.90851 -33.96471 -6.182644 -4.334564 -4.330301 -3.591501 -3.965934 -1.356567 -12.43884 -12.23745 -8.640965 17 1 1
9.336183 3.374856 10.02611 9.907107 8.428483 8.803597 8.483046 -4.204096 -10.01257 -10.69016 -4.506249 17 1 1
9.114126 4.306016 -10.34948 9.484772 8.755337 10.06132 8.715221 -3.902896 -16.18823 10.40896 -17.97226 17 1 1
7.542384 -26.32663 -12.91445 5.849573 7.904397 9.135085 8.75356 -6.485937 -10.80488 -5.800317 8.073005 17 1 1
0.9123256 3.408952 1.387907 -1.773074 1.466491 1.679834 2.527715 15.19911 22.14208 23.67478 24.46022 17 1 1
-20.05601 -29.05103 -36.49691 -21.62655 -19.66264 -19.29919 -18.50826 -33.61515 -39.50471 -31.26569 -14.41959 17 1 0
-18.10891 -20.58362 -20.38933 -21.01131 -17.5942 -17.34792 -17.28168 -22.07955 -20.37298 -10.34435 -5.767991 17 1 0
-0.8354306 -29.48918 -25.68077 -0.08492194 1.123083 0.1853326 -0.6473067 -8.660089 -21.73263 -22.99393 -25.04064 17 1 0
1.551151 -7.339113 -9.063738 0.290554 1.403276 1.464388 0.6233919 -11.3512 -13.03528 -21.32747 -8.685488 17 1 0
-6.885798 -36.88573 -22.65937 -7.308156 -5.753454 -6.63233 -6.236623 -7.602116 -1.280485 0.5854942 7.423943 17 1 1
-11.34725 -25.56843 -17.10109 -12.9751 -10.46715 -10.81654 -10.52904 -31.03432 -41.85731 -31.74363 -5.089629 17 1 0
