Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
0.5383831 0.3501706 1.563581 0.1118666 -0.0517753 0.655681 -0.005851144 0.06129536 0.2422523 -1.732343 -0.7290777 -1.216504 -0.8469366 1.584361 0.6283264 1.07133 0.3037443 0.7454059 -3.884847 -2.774715 0.9231882 1.771124 -1.034182 -0.4350178 -3.748325 -2.443496 3.206214 -0.8963284 0.09261343 -2.448634 -1.559352 -3.961537 -0.6722553 -1.183343 -0.6231131 -3.363094 -0.7565766 -2.257371 -0.5162259 -1.45056 1.74202 22.99989 1 -120
0.4576562 0.3199413 1.13434 0.08850124 -0.7060316 0.1491735 -0.2428439 -0.1617695 0.323866 -2.225627 -0.1728036 -1.056599 -0.3071442 0.9957418 -0.04517123 0.461615 -0.03949619 0.6717246 -3.435795 -1.686184 0.7112129 1.507598 -0.9355089 -0.005123214 -3.343438 -1.767876 3.082899 -0.9067088 0.274177 -2.276314 -1.007297 -3.411562 -0.1090728 -1.082276 -0.05763929 -3.148067 -0.1857267 -1.789178 0.04541021 -1.058545 1.482919 19.45702 1 -116
0.1147206 0.2971734 0.6843362 0.09915412 -0.9509771 -0.05305936 -0.3209639 -0.4319368 0.248551 -2.44184 0.1821433 -0.8820288 0.02132067 0.4314502 -0.2577367 0.1993983 -0.3714792 0.6367971 -3.107757 -0.9669252 0.3439879 1.249742 -0.8939986 0.2557811 -2.958068 -1.342048 2.728377 -0.972003 0.336189 -2.243604 -0.649983 -3.140661 0.2690894 -0.9508696 0.3101781 -3.042494 0.2287626 -1.607001 0.4165791 -0.7244844 1.10624 18.14991 1 -112
-0.4646613 0.3008106 0.191727 0.1579188 -0.9080591 0.1083507 -0.2193497 -0.6169042 0.1591568 -2.173856 0.2716973 -1.020881 0.09213385 -0.009535074 -0.2186082 0.1658421 -0.6324565 0.6197518 -3.002998 -0.7017382 -0.04008163 1.017358 -0.9371891 0.3938615 -2.627695 -1.009692 2.266361 -1.043957 0.2876211 -2.255952 -0.3949485 -3.037979 0.5000371 -0.8288916 0.4806699 -2.975348 0.4760035 -1.569534 0.6032844 -0.4808447 0.7864971 18.29212 1 -108
-0.6540638 0.3411039 -0.1954258 0.2388248 -0.8271502 0.3404434 -0.02649704 -0.6586801 0.1252278 -1.592064 0.3650606 -1.487897 0.2187023 -0.3391292 -0.3390808 0.09381234 -0.8226612 0.6325833 -2.973134 -0.5371529 -0.3654769 0.7357718 -0.9712692 0.5099502 -2.27389 -0.5258806 1.7769 -1.143735 0.1615831 -2.158419 -0.085076 -2.87948 0.6610458 -0.8729433 0.5759082 -2.88696 0.6451774 -1.487725 0.6922769 -0.424417 0.5589109 17.85486 1 -104
-0.08580121 0.379228 -0.3772749 0.2944788 -0.751215 0.3883193 0.157605 -0.5873507 0.1055617 -0.9876913 0.5660517 -1.792314 0.497312 -0.5770186 -0.6148756 -0.02239665 -0.9539202 0.6785061 -2.84452 -0.3274863 -0.6203066 0.4010983 -0.9659401 0.6052573 -1.993909 0.01565105 1.252409 -1.268313 -0.009716744 -2.014977 0.2604127 -2.682327 0.7476902 -1.096388 0.6560609 -2.806743 0.7617309 -1.385896 0.7406347 -0.5873803 0.2825263 16.56315 1 -100
0.8517674 0.3533153 -0.4918419 0.2935561 -0.6067851 0.3641725 0.3101574 -0.5585042 0.0653584 -0.4942401 0.6774164 -1.772264 0.670343 -0.7236674 -0.7442178 -0.01485454 -1.036968 0.6791244 -2.638035 -0.2207558 -0.8218381 0.1166734 -0.9763681 0.6105121 -1.811149 0.383106 0.7623771 -1.342521 -0.1554247 -1.913433 0.5307011 -2.547596 0.7405933 -1.278294 0.6718318 -2.715375 0.7849666 -1.390238 0.7348068 -0.7788768 0.009554668 15.42293 1 -96
1.498763 0.2528192 -0.6062017 0.2357507 -0.386352 0.5229152 0.4427805 -0.6182489 -0.09316683 -0.1655324 0.587903 -1.856739 0.5879765 -0.8044203 -0.5871252 0.1458897 -1.073277 0.6292039 -2.535443 -0.2479226 -1.00418 -0.02963566 -0.990379 0.5221664 -1.593093 0.3736911 0.4134877 -1.324067 -0.1882108 -1.821307 0.6407605 -2.455688 0.6483876 -1.228067 0.5855107 -2.517261 0.7030507 -1.471054 0.6658159 -0.7604123 -0.2452675 15.14621 1 -92
1.595704 0.191131 -0.6395983 0.2180221 -0.1570362 0.828714 0.5905192 -0.6502966 -0.3983563 -0.03783204 0.4535858 -2.070006 0.4316314 -0.8176718 -0.3244074 0.3366445 -1.037319 0.6346914 -2.483263 -0.240445 -1.125925 -0.04356985 -0.9431792 0.4336127 -1.359341 -0.03182676 0.2418218 -1.231628 -0.08325566 -1.681358 0.585233 -2.259984 0.4939356 -1.018218 0.4306734 -2.170442 0.5437451 -1.389806 0.5689841 -0.5536746 -0.5553537 14.72514 1 -88
1.334102 0.2648702 -0.5334561 0.316765 -0.01199092 0.8688727 0.7340925 -0.5206699 -0.6232602 0.03646591 0.5219262 -1.691375 0.4837912 -0.7514713 -0.2235459 0.4318138 -0.908075 0.7656984 -1.942126 0.09095442 -1.093659 0.02329352 -0.8465092 0.4807399 -1.103862 -0.4181865 0.2147708 -1.094456 0.1382967 -1.419078 0.5248446 -1.743689 0.3354654 -0.8469498 0.2909766 -1.735443 0.3864439 -1.028851 0.4780469 -0.3691952 -0.8338569 11.0174 1 -84
