ID Z_score channel
1 3.86181341094049 38
2 5.63355396322368 35
3 3.58370518764256 40
4 9.26205758635765 39
5 3.36219091381691 38
6 4.18070282644902 38
7 15.1909025201365 36
8 6.55546229800418 40
9 8.08741062752547 40
10 4.61711834809657 39
11 3.71798785267616 42
12 1.57434833086163 42
13 5.83392869507897 37
14 5.9383527880639 39
15 4.74087731039084 40
16 3.25633294913259 37
17 4.6906385532066 40
18 10.4681692228696 40
19 1.5854589036969 41
20 7.02789356073572 39
21 2.67991398683333 40
22 8.95858357610177 36
23 4.89325685158419 38
24 5.2525181308427 33
25 5.77985689032957 40
26 8.09534672131418 39
27 6.59053944883225 39
28 9.26739590725834 40
29 5.75674859246649 39
30 9.10284833818573 33
31 6.10172327736993 33
32 5.6897909929778 40
33 9.49494263092399 38
34 9.23498444931652 40
35 9.42277719167376 40
36 4.44181928596089 35
37 9.23678949614611 32
38 5.35982097838501 40
39 10.9189795356719 38
40 9.08488380226382 39
41 10.3088681683503 39
42 5.0652763142806 34
43 4.80520089685116 40
44 4.60608212993779 35
