ID Z_score channel
1 1.49089346858913 41
2 2.28855834867791 40
3 2.00154175178815 35
4 1.76276383193487 32
5 1.07212065042239 33
6 1.5701476422687 35
7 2.29646202718273 34
8 2.65446335348163 33
9 1.93060073990915 33
10 2.62613785529057 42
11 1.24090523003792 38
12 1.83533265361101 32
13 2.11957445807755 41
14 1.74658819814927 39
15 1.21620380928922 36
16 1.19277893012201 38
17 3.29048937028688 37
18 2.14694513613711 34
19 2.21628847316495 33
20 1.09379583979667 35
21 1.80716684080923 38
22 1.36504283463434 40
23 2.1800428916015 40
24 2.35169638817976 36
25 2.12444621615019 40
26 2.47382545406971 42
27 1.49871470076562 32
28 1.01018789909421 42
29 2.62254108347337 35
30 1.87824800740294 41
31 1.53876073064038 42
32 1.22290278565625 41
33 1.2936520525236 37
34 1.70541204848449 41
35 0.801748890324995 41
36 0.909590107694157 42
37 1.66999928231779 38
38 1.85585356272847 39
39 1.44873378713565 39
40 1.06063368605228 38
41 0.716268732348398 35
42 1.84530220532292 36
43 1.4669191979007 32
44 3.82926655437647 38
