Row base expr
Fp1 5.25475035358455 1.38151584108567
Fp2 5.65688563396767 1.17370995502062
AF3 5.17070681649317 1.09986308347825
AF4 4.99355382047464 0.985962041236713
Fz 5.86734880661514 1.58029873146687
F3 4.70270774854953 1.45969652421819
F4 4.73201658215543 0.686847011410465
F7 3.70901693587863 1.67291635639392
F8 4.9492697025623 1.36007157635374
FC5 4.62824079678343 1.53350148230489
FC6 5.03015108158704 2.63356145638364
FT7 3.7701819250031 1.57902397936329
FT8 4.17961616125322 2.13493806966635
Cz 6.72009667488028 2.77266424981216
FC1 6.18881953137956 2.47290066369995
FC2 6.79754089917297 1.87334417269887
C3 6.06251068952788 2.58309148980504
C4 6.44798107527419 2.27467868191584
T7 3.84900583548993 1.20724469375119
T8 4.07886343774626 2.46699976716344
A1 5.94399291994207 2.73757270480414
A2 5.61447916282786 1.97302369382138
CP1 3.88824612072711 1.59549385332983
CP2 4.11129216037064 2.33768387438332
CP5 3.84199666683955 1.58271636495045
CP6 5.76771467593707 3.35591807865103
TP7 5.21294378331578 1.5531330395681
TP8 5.23581948852446 0.978556303904005
Pz 7.01815080424953 0.995667997962213
P3 4.65802489025243 3.05417743179495
P4 7.86868219851845 4.67672554833793
P7 9.69895423420786 5.42606830213077
P8 12.5974542744014 6.51398685704367
PO9 11.3061619849984 1.51603316508367
PO10 14.2926195508589 3.13524308556265
PO3 10.0111184315814 3.14955554931713
PO4 13.4359646014719 5.32163565138011
PO7 16.6627343127385 2.87200651978334
PO8 18.279848924247 4.25941510428521
O1 21.5670757234199 3.21268744064278
O2 4.44547374720602 1.25073560357383
Oz 4.00231379346739 0.735919280766414
