ID Z_score channel
1 2.90478176893452 32
2 1.19744447686759 41
3 1.06696054396307 35
4 1.78340953933854 36
5 1.71150148945282 42
6 0.759423016516735 34
7 3.3029757880035 32
8 2.38530168157137 42
9 2.60588162063489 40
10 1.67947485375961 37
11 2.43898844306123 36
12 2.31909143498267 38
13 2.18382446492789 41
14 2.51031757189423 35
15 1.84796667312377 32
16 2.43246276253458 40
17 1.57605710786569 39
18 1.52542852460631 41
19 1.18148841758892 42
20 2.70256791377849 39
21 2.97123389287963 33
22 2.19826543046458 33
23 1.98182617976114 32
24 2.12612549711561 40
25 2.24470737255661 41
26 4.33935076633379 39
27 2.2663926293809 36
28 1.49561422617674 42
29 2.33863103387566 35
30 0.848590719149315 39
31 2.29956273202654 32
32 1.54921655588267 36
33 1.79208655031811 41
34 1.30561051357321 41
35 2.42482246852487 42
36 2.09809169632446 42
37 2.15830800338986 33
38 1.82757713980031 33
39 1.0553180203555 42
40 1.58090008811972 42
41 4.28086499726458 42
42 1.43217456992917 36
43 1.91017374315215 36
44 1.80451696320808 41
