ID Z_score channel
1 8.43235422464326 32
2 7.55548831329016 35
3 4.92033435797251 40
4 9.27816197251694 40
5 7.37446457666056 39
6 10.5529159233687 38
7 14.7155956466615 36
8 12.9285588302972 40
9 11.0902145190302 40
10 10.2116089138098 40
11 8.09123859221513 38
12 3.59279796832746 40
13 7.59970512566851 35
14 11.3899744052708 40
15 5.2057595547668 35
16 8.29976508685841 32
17 7.39766894630575 40
18 8.30898468873521 38
19 5.8957868298111 38
20 8.71575412351367 38
21 13.6753803414574 40
22 11.5666312935344 32
23 9.97196414744321 38
24 12.1735031184072 38
25 9.74965592947859 35
26 7.8398440418551 39
27 10.8448545390272 33
28 14.8234466875797 40
29 9.27491438303419 39
30 15.6752374205072 33
31 14.9575238277039 33
32 10.9706616212982 40
33 7.89165330968866 40
34 9.35707472642466 40
35 15.7669323899818 40
36 8.91254080311735 40
37 10.257245725312 37
38 8.65171586847367 39
39 6.74776194264654 38
40 5.6963663391169 40
41 11.7152991549274 39
42 9.52051503893017 40
43 5.88201158395039 40
44 6.47008758221242 36
