O1 O2 Oz PO3 PO7 P7 PO9 PO4 PO8 P8 PO10 ID emotion artifacts
10.5029 3.984419 13.73973 6.030848 -2.935128 -6.68794 -5.035496 -0.5673206 -0.2747656 -14.86324 -1.286985 16 1 1
-11.64438 -0.5573854 -3.890842 0.2618491 -13.21605 -14.92785 -16.46471 1.555873 0.5209655 2.079885 0.912679 16 1 1
-2.145969 11.37773 7.937846 13.97165 -6.869698 -4.460656 -16.17364 9.879999 8.826538 17.23981 9.011326 16 1 1
7.088519 16.01636 12.28351 6.05181 -3.804824 -18.95764 -1.428523 14.51066 14.7827 11.2131 14.77424 16 1 1
19.71826 -3.595034 12.78734 20.49031 19.77948 16.88484 4.608458 -5.561688 -5.549887 -15.64462 -6.436177 16 1 1
0.3505276 -23.00826 9.991161 10.67573 10.51999 18.66519 -2.260157 -25.60334 -26.69932 -28.94746 -27.31657 16 1 1
-5.652376 -25.51975 -17.04593 2.227381 7.707272 10.87171 -9.485002 -23.88146 -24.51294 -20.2915 -24.69369 16 1 1
29.16388 26.06249 40.83525 12.21167 14.8855 -13.77952 21.72851 21.63745 21.34499 9.047803 22.13437 16 1 1
3.230524 -6.537376 -1.260656 -7.205121 0.937614 -0.6059476 6.924318 -5.104126 -4.836648 -4.039729 -4.958647 16 1 1
41.20684 18.32178 40.51419 32.92451 30.52896 24.99072 28.08038 11.29533 11.17295 -9.263746 10.35699 16 1 1
18.2415 11.96209 10.92506 32.33281 26.69639 16.51596 37.57708 10.5782 10.02598 -5.533183 9.434803 16 1 1
-2.931043 -12.76703 -9.519185 1.376484 6.064252 25.39397 6.755696 -15.31178 -15.5015 -10.72261 -16.4217 16 1 1
-34.54304 -29.73124 -43.81899 -26.5876 -21.18802 -0.7977823 -7.168104 -27.49439 -27.39636 -25.4725 -27.82081 16 1 1
-6.559149 -12.59328 -0.1602603 -10.00771 -15.36261 -18.03993 -14.0082 -13.79246 -14.10367 -10.41155 -14.92411 16 1 1
-0.4369153 5.837114 -3.918308 -0.5334952 -0.1956969 7.604714 0.6299677 7.127897 6.243038 15.3338 5.721847 16 1 1
23.89166 19.58735 33.30147 18.52613 5.699795 -1.709971 -7.489416 15.71348 15.48631 20.29954 15.31066 16 1 1
-11.71974 -10.28961 -15.22195 -15.25374 -10.33754 -16.44505 -1.828537 -8.005381 -8.302652 0.6999617 -9.080132 16 1 1
-32.46415 -14.81359 -17.81628 -19.68848 -41.55704 -24.79666 -51.72903 -14.74062 -15.49846 -3.85228 -16.1516 16 1 1
20.14068 41.88842 36.11213 16.74657 4.511676 -10.52417 5.20485 40.47273 39.77295 35.61547 38.6811 16 1 1
7.862185 12.2062 26.17721 4.356561 -10.41514 -12.30166 -11.56303 8.40572 8.347963 0.2541028 7.30786 16 1 1
2.458924 -5.781463 -4.788381 8.048579 -1.032353 2.671891 -5.933032 -5.116674 -6.536176 1.1265 -7.506133 16 1 1
2.194193 -7.067124 0.2137774 15.86526 1.27322 3.738046 -11.72585 -4.726158 -4.895254 -13.79473 -6.149101 16 1 1
26.08603 7.44547 22.88734 20.49611 28.40074 20.61185 16.87693 6.656285 7.33597 -3.819768 8.112456 16 1 1
27.01443 18.89878 22.77728 18.79082 14.96844 -2.909754 26.07004 18.11192 19.37197 9.713767 18.96907 16 1 1
4.732812 1.096749 12.99272 -4.378274 7.416498 -5.271271 16.58633 1.678819 1.214893 -4.809124 1.360926 16 1 1
2.307551 -12.02086 -7.150323 -1.405046 1.789544 4.777798 10.07521 -14.61362 -14.97319 -35.08271 -14.91585 16 1 1
-13.08059 -3.079368 -19.02652 2.866199 -14.55748 -14.3846 -32.50868 0.7676972 -0.3666447 6.118265 -0.004542086 16 1 1
6.2711 -3.776484 0.8757806 -8.3194 8.372812 -5.68456 18.94922 -6.090509 -5.029541 -4.439768 -5.034529 16 1 1
-12.12667 -21.55926 -14.91134 -9.927999 -3.220954 2.320941 -1.026314 -23.08405 -23.20505 -28.19778 -24.87307 16 1 1
24.91622 6.18595 29.01996 21.11926 12.88721 15.3664 4.059048 1.317394 -0.3238355 -9.338463 -2.015468 16 1 1
-6.023705 -6.402997 -12.829 3.504117 5.906526 6.239298 2.236163 -5.52419 -5.8797 -10.62645 -4.773721 16 1 1
