ID Z_score channel
1 1.86432905847388 34
2 3.09232790405742 42
3 1.23632678212225 35
4 2.60852108627945 38
5 0.959085946103075 32
6 1.79085974402625 34
7 2.28829170576437 39
8 1.39416779374594 39
9 2.50037257652878 39
10 3.25838156955936 41
11 2.07592500221006 38
12 3.59747677598074 36
13 1.61563576598788 33
14 2.99219585406683 37
15 3.03744721356143 41
16 2.23475330284366 32
17 4.4231321063749 39
18 1.04662160183086 41
19 2.07228615399629 38
20 2.91918962672525 39
21 2.70402221308634 41
22 2.10981337269646 34
23 1.9596751841916 36
24 1.46865506535411 40
25 1.11719459150821 33
26 2.30620593392956 32
27 1.58735998737983 39
28 2.75224020156945 38
29 1.45928933650048 39
30 2.63442010596422 33
31 1.27548262838167 34
32 1.46787145603143 38
33 2.16729825876405 39
34 1.95339847650832 32
35 3.91452810549512 37
36 2.0384919709167 41
37 2.27387259685958 41
38 1.63511191679672 38
39 4.60002275279329 40
40 2.90377316893857 40
41 1.71266541795587 36
42 1.3117450403241 34
43 2.54739405203484 40
44 1.91916464583539 41
