Fp1 Fp2 AF3 AF4 Fz F3 F4 F7 F8 FC5 FC6 FT7 FT8 Cz FC1 FC2 C3 C4 T7 T8 A1 A2 CP1 CP2 CP5 CP6 TP7 TP8 Pz P3 P4 P7 P8 PO9 PO10 PO3 PO4 PO7 PO8 O1 O2 Oz ID time
4.58045 -0.2242803 0.08352976 -0.2881951 -0.7568459 -0.1149547 -0.8689978 2.299592 0.9771538 1.224738 -0.01114379 1.214123 -0.06577139 -1.157437 0.1852911 -1.781925 -0.138686 -1.632142 0.05530675 -0.8134555 -0.6731762 -0.9920753 -0.5903494 -1.707075 0.724981 -1.602146 1.661442 -0.7115142 -0.3944793 -0.2481537 -1.831441 -0.8532401 -0.8635498 -0.6721765 -0.9810978 -0.4597596 -0.934544 -0.006168929 -0.644421 -0.5946675 -2.441873 12.04908 1 -124
3.731405 -0.3893494 -0.01741368 -0.4610543 -1.042161 -0.4203641 -1.070924 2.057256 0.8920566 0.7435194 0.3323412 0.7195171 0.2992915 -1.031492 0.2557841 -1.936347 -0.2039766 -1.521937 -0.3567066 -0.1560792 -0.6762876 -0.7701954 -0.6257734 -1.386138 0.5232449 -1.431757 1.690277 -0.7345167 -0.2193434 -0.4264842 -1.689709 -0.9536512 -0.8687294 -0.5267389 -0.9196361 -0.2912183 -0.8816276 -0.1447545 -0.6150312 -0.5233719 -2.140228 13.18826 1 -120
3.490104 -0.2817805 -0.249116 -0.3403298 -1.161767 -0.3996491 -0.988209 1.818076 0.7704436 0.2408658 0.5756522 0.369127 0.6001464 -1.018365 0.1757295 -2.095032 -0.2828427 -1.446158 -0.7329043 0.3488382 -0.7427202 -0.7053602 -0.7277992 -1.201166 0.312203 -1.193245 1.629829 -0.756798 -0.180462 -0.4562132 -1.592162 -1.023772 -0.9723679 -0.5511756 -0.948745 -0.07930847 -0.9598877 -0.3097832 -0.7398662 -0.6026301 -2.022121 14.43067 1 -116
3.546079 0.05565444 -0.4589181 0.01732609 -1.170636 -0.233299 -0.6899166 1.824086 0.6790786 0.06341274 0.6784954 0.5688371 0.7184586 -1.091307 -0.0009982478 -2.183194 -0.1722144 -1.319754 -0.5452809 0.523058 -0.733721 -0.7604402 -0.7296429 -1.079117 0.3152493 -0.8811217 1.572643 -0.6930542 -0.2117874 -0.32009 -1.488507 -0.8615789 -1.040063 -0.6434903 -0.9536625 0.05838494 -1.018949 -0.322383 -0.8567064 -0.7465645 -2.203881 12.78944 1 -112
3.164785 0.2933375 -0.3541133 0.2630553 -1.186653 0.1310593 -0.4427967 2.075068 0.5892406 0.2265094 0.6117121 1.353661 0.6097984 -1.161604 -0.1834432 -2.099789 0.05452733 -1.12026 0.2294049 0.2491662 -0.6248472 -0.7340255 -0.5230669 -0.937537 0.3734348 -0.5684981 1.607214 -0.4683985 -0.1279043 -0.1085505 -1.325266 -0.3623938 -0.9023029 -0.5040188 -0.7829652 0.2467359 -0.8577951 -0.06851947 -0.7270813 -0.6587824 -2.572928 7.324817 1 -108
2.329307 0.2034747 -0.02231591 0.170441 -1.35077 0.7026276 -0.4278354 2.159123 0.5405601 0.3844077 0.3542058 2.138839 0.3215449 -1.239592 -0.4259183 -1.89773 0.05931875 -0.9237551 1.037495 -0.3792458 -0.5286508 -0.5126557 -0.2624437 -0.7677255 0.3653331 -0.3270015 1.732986 -0.1521318 0.1483198 0.1232699 -1.074737 0.3217297 -0.5163942 -0.04099874 -0.4121666 0.6025369 -0.4650286 0.3653409 -0.3179623 -0.1394884 -2.740342 0.8640355 1 -104
1.806948 -0.08321034 0.3113307 -0.1296759 -1.63124 1.156832 -0.6024061 1.916833 0.6696808 0.3209276 0.09462739 2.452125 0.08391302 -1.374629 -0.7462544 -1.743856 -0.2599943 -0.8006136 1.368325 -0.8168953 -0.5422115 -0.2726315 -0.227886 -0.5621856 0.2071564 -0.1039683 1.767979 0.06066005 0.4684778 0.2938646 -0.7671493 0.8732245 -0.07474173 0.3870259 -0.008013829 0.9997622 -0.0543042 0.7380909 0.1335474 0.5490893 -2.527313 -3.331288 1 -100
2.102645 -0.2693028 0.5363244 -0.3322819 -1.784762 1.172172 -0.7477696 1.706043 0.9066942 0.2339841 0.06808948 2.333714 0.1002893 -1.535978 -1.048199 -1.727115 -0.5547463 -0.7209386 1.288164 -0.615591 -0.5967539 -0.2427968 -0.3986073 -0.3660881 0.001013669 0.1042508 1.558522 0.1012663 0.5753272 0.4251395 -0.555887 1.149239 0.1367697 0.4426852 0.1855563 1.257799 0.1172903 0.9215355 0.3511215 0.8840923 -2.295082 -4.867809 1 -96
2.781214 -0.2627579 0.5141296 -0.3254058 -1.677063 0.8731222 -0.7303593 1.704592 1.045575 0.4515455 0.1872407 1.978139 0.2300459 -1.699758 -1.238405 -1.834011 -0.5592838 -0.6798536 1.086644 0.09619608 -0.6234722 -0.4499998 -0.5319655 -0.2702509 -0.0363069 0.1849242 1.165331 0.02578341 0.38021 0.578019 -0.5492048 1.174662 0.09946533 0.2260737 0.146469 1.287035 0.05790601 0.9593673 0.3070596 0.7361472 -2.363733 -4.445069 1 -92
2.760904 -0.2262137 0.2629348 -0.2673054 -1.420526 0.6427605 -0.6426119 1.603089 1.052996 0.9261467 0.2501545 1.317732 0.2852049 -1.81594 -1.203803 -1.945068 -0.4062218 -0.6938803 0.7001464 1.025356 -0.6977137 -0.7051178 -0.5869884 -0.2239186 -0.04749542 0.2048335 0.7273646 -0.1198545 0.103366 0.6175725 -0.6207544 0.9941916 0.04754408 0.04772712 0.07153015 1.136132 0.01114846 0.9395819 0.2087048 0.5102303 -2.385684 -2.438266 1 -88
1.622449 -0.3009235 0.08709726 -0.324703 -1.191812 0.6410527 -0.6440721 1.223146 0.9051901 1.204152 0.2428839 0.3368927 0.2833424 -1.76725 -0.9105185 -1.915707 -0.2992881 -0.6682922 0.1768783 1.772788 -0.8006207 -0.7481937 -0.575632 -0.1147281 -0.08326449 0.286321 0.3933985 -0.1816807 0.01936203 0.5469463 -0.6073847 0.8485644 0.1175422 0.1309279 0.1087475 1.052349 0.1037184 0.9635838 0.2505684 0.6135464 -2.077134 -0.720327 1 -84
0.4814111 -0.5040335 0.147514 -0.5364389 -1.037803 0.6888694 -0.8139532 0.8865383 0.5045447 1.110757 0.1324782 -0.5123903 0.160559 -1.543466 -0.5466195 -1.791407 -0.2243205 -0.557924 -0.1500553 1.676747 -0.7762139 -0.5812755 -0.3989523 -0.05305474 0.05975857 0.1998096 0.2340156 -0.02576841 0.1190734 0.5718372 -0.5231594 0.9001009 0.2689312 0.4145677 0.2524452 1.159226 0.2704909 1.069294 0.4410713 0.9561245 -1.874796 -0.2544618 1 -80
0.5688846 -0.7216367 0.1826255 -0.7673545 -0.935606 0.5143857 -1.047166 0.8695278 0.01816351 0.9080228 -0.1328282 -0.7486494 -0.1542496 -1.314269 -0.3620739 -1.753564 -0.08842242 -0.4938186 -0.1825953 0.691984 -0.6191302 -0.4858122 -0.1042278 -0.1885446 0.3320646 -0.1905279 0.1209382 0.1816123 0.1871717 0.703075 -0.4171312 0.9594958 0.4089544 0.5820393 0.3887175 1.240112 0.4093228 1.198637 0.6396894 1.152707 -2.109824 0.5593032 1 -76
