ID Z_score channel
1 7.025704350504 32
2 6.78261283528573 40
3 4.35650556411214 34
4 9.77945811550746 40
5 3.79432158509404 32
6 10.2706686737522 38
7 13.9590765454636 36
8 7.62031687621938 40
9 8.7584843508812 40
10 8.94815207476546 39
11 5.21622273356706 34
12 5.93158199394517 33
13 8.52349645080685 40
14 7.93722762484957 40
15 7.27357212209198 40
16 4.21821243840176 33
17 11.0171417533962 40
18 7.62589552888559 40
19 6.90114325046665 40
20 7.16638293723877 33
21 7.78680354784915 40
22 17.4852370049299 38
23 11.4539234565538 38
24 13.2428764333759 37
25 9.6668934116007 33
26 7.9613665682327 39
27 17.5139338228982 39
28 13.6341086960465 40
29 6.39313799166754 37
30 11.6205707437872 33
31 9.52290291839729 40
32 12.7659712507656 40
33 10.2226882192067 38
34 12.0315477194262 40
35 12.8332188020216 37
36 8.94341450637226 38
37 11.0139438133066 32
38 5.93067062661828 33
39 9.38628581265709 39
40 6.94069433382008 40
41 8.18933751067502 35
42 14.6099840460404 40
43 10.6464389245396 40
44 3.60647944392 35
