"twent"	"fort"	"sixt"	"eigt"	"oneh"
1.49089346858913	2.90478176893452	1.86432905847388	2.04035988377311	1.55738444207781
1.76276383193487	1.78340953933854	2.60852108627945	2.24242756881257	3.26091907280762
2.29646202718273	3.3029757880035	2.28829170576437	1.86533011323377	6.90223632259013
2.65446335348163	2.38530168157137	1.39416779374594	2.80995836680723	1.81904933647728
1.93060073990915	2.60588162063489	2.50037257652878	2.55058007694908	2.00329092760065
2.11957445807755	2.18382446492789	1.61563576598788	2.92870963460754	2.45060879813621
1.74658819814927	2.51031757189423	2.99219585406683	2.39133984444644	3.55106888917633
1.19277893012201	2.43246276253458	2.23475330284366	2.37433288898741	1.932421735722
2.14694513613711	1.52542852460631	1.04662160183086	2.78078814104946	1.86901730851826
1.36504283463434	2.19826543046458	2.10981337269646	1.68035230308244	1.20827649596048
2.35169638817976	2.12612549711561	1.46865506535411	3.67385200639533	3.0508573164666
2.12444621615019	2.24470737255661	1.11719459150821	3.85346779344376	2.0325104388978
1.49871470076562	2.2663926293809	1.58735998737983	2.98579385094032	3.77065616297345
1.87824800740294	0.848590719149315	2.63442010596422	3.21881053965618	2.00022530658909
1.2936520525236	1.79208655031811	2.16729825876405	2.31046555389041	2.91562732394304
1.70541204848449	1.30561051357321	1.95339847650832	2.31882604128305	2.2746259234922
0.909590107694157	2.09809169632446	2.0384919709167	1.0061724824164	1.70257562795396
1.06063368605228	1.58090008811972	2.90377316893857	2.4474598515726	2.2370156825095
0.716268732348398	4.28086499726458	1.71266541795587	1.78864736303359	2.83383670936817
1.84530220532292	1.43217456992917	1.3117450403241	2.9572497814109	1.97472742019373
1.4669191979007	1.91017374315215	2.54739405203484	1.76490241570833	3.35124174628793
3.82926655437647	1.80451696320808	1.91916464583539	1.76098232306979	0.764319368917251
